ants,evaporation_rate,best_fitness,average_fitness,std_dev_fitness
100,0.1,66,131.3,45.9
100,0.15,89,164.5,46.4
100,0.2,95,167.6,55.8
100,0.25,189,267.2,53.5
100,0.3,182,315.4,110.4
100,0.35,116,273.5,116.9
100,0.4,126,359.6,118.4
100,0.45,115,418.3,158.6
100,0.5,175,427.3,132.3
100,0.55,224,458.7,159.2
100,0.6,261,500.4,171.8
100,0.65,204,544.9,189.9
100,0.7,129,495.7,167.6
100,0.75,414,572.3,139.9
100,0.8,267,654.4,166.4
100,0.85,375,623.1,127.7
100,0.9,427,611.6,138.9
100,0.95,166,595.7,220.9
100,1.0,198,532.3,201.6
105,0.05,123,168.3,40.5
105,0.1,67,140.4,50.1
105,0.15,23,167.7,87.9
105,0.2,164,287.0,85.0
105,0.25,115,230.5,99.7
105,0.3,106,307.0,118.2
105,0.35,226,376.5,97.1
105,0.4,302,383.3,71.3
105,0.45,137,340.9,165.2
105,0.5,245,382.1,97.7
105,0.55,295,454.5,158.8
105,0.6,221,518.5,192.7
105,0.65,336,523.2,118.1
105,0.7,222,449.7,148.0
105,0.75,374,552.8,132.6
105,0.8,210,486.7,169.0
105,0.85,274,539.1,214.0
105,0.9,386,532.8,156.4
105,0.95,353,556.1,167.5
105,1.0,290,560.4,163.3
110,0.05,50,142.2,61.3
110,0.1,128,191.5,48.0
110,0.15,170,250.2,54.8
110,0.2,79,209.8,118.0
110,0.25,219,343.7,75.9
110,0.3,206,317.2,84.8
110,0.35,147,424.5,119.6
110,0.4,196,366.0,107.4
110,0.45,67,293.0,138.4
110,0.5,170,420.2,131.4
110,0.55,251,491.7,195.1
110,0.6,117,435.2,188.7
110,0.65,204,471.3,158.4
110,0.7,330,566.9,102.7
110,0.75,172,515.7,189.5
110,0.8,394,582.2,156.7
110,0.85,349,562.9,186.8
110,0.9,266,538.2,158.1
110,0.95,435,579.0,123.9
110,1.0,221,472.8,181.7
